Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|802.11mc|Security
2022/04/29-19:45:38|iTaiwan|00:be:75:d5:30:8f|-71dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~14.9m|false|[ESS]
2022/04/29-19:45:38|wifiphone|00:be:75:d5:31:03|-58dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~7.8m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:45:38|Meeting-Room2|00:be:75:d5:31:04|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:45:38|BP|00:be:75:d5:31:07|-58dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~7.8m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|IOT|00:be:75:d5:31:07|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[ESS]
2022/04/29-19:45:38|BP|00:be:75:d5:31:08|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|IOT|00:be:75:d5:31:08|-58dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~7.8m|false|[ESS]
2022/04/29-19:45:38|iPortal|00:be:75:d5:31:09|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|Crop|00:be:75:d5:31:0a|-52dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.7m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|NTUH-APP|00:be:75:d5:31:0a|-59dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~8.7m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|Meeting-Room2|00:be:75:d5:31:0b|-58dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~7.8m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:45:38|ntu|00:be:75:d5:31:0b|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[ESS]
2022/04/29-19:45:38|wifiphone|00:be:75:d5:31:0c|-52dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.7m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:45:38|WARD-N|00:be:75:d5:31:0d|-52dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.7m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|NTUHW|00:be:75:d5:31:0e|-52dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.7m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|iTaiwan|00:be:75:d5:31:0f|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[ESS]
2022/04/29-19:45:38|iTaiwan|00:be:75:d8:67:c0|-79dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~87.2m|false|[ESS]
2022/04/29-19:45:38|NTUHW|00:be:75:d8:67:c1|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|WARD-N|00:be:75:d8:67:c2|-71dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~34.7m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|wifiphone|00:be:75:d8:67:c3|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:45:38|Meeting-Room2|00:be:75:d8:67:c4|-73dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~19.4m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:45:38|BP|00:be:75:d8:67:c7|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|IOT|00:be:75:d8:67:c7|-73dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~19.4m|false|[ESS]
2022/04/29-19:45:38|BP|00:be:75:d8:67:c8|-76dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~27.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|IOT|00:be:75:d8:67:c8|-73dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~43.7m|false|[ESS]
2022/04/29-19:45:38|iPortal|00:be:75:d8:67:c9|-76dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~27.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:45:38|Crop|00:be:75:d8:67:ca|-77dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~30.7m|false|[WPA2-PSK-CCMP][ESS]
