Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:24:47|WARD-N|6c:b2:ae:2d:40:e2|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|wifiphone|6c:b2:ae:2d:40:e3|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|Meeting-Room2|6c:b2:ae:2d:40:e4|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|ntu|6c:b2:ae:2d:40:e4|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[ESS]
2022/09/04-20:24:47|BP|6c:b2:ae:2d:40:e7|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|IOT|6c:b2:ae:2d:40:e7|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[ESS]
2022/09/04-20:24:47|BP|6c:b2:ae:2d:40:e8|-48dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|IOT|6c:b2:ae:2d:40:e8|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[ESS]
2022/09/04-20:24:47|iPortal|6c:b2:ae:2d:40:e9|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|Crop|6c:b2:ae:2d:40:ea|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUH-APP|6c:b2:ae:2d:40:ea|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|ntu|6c:b2:ae:2d:40:eb|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[ESS]
2022/09/04-20:24:47|wifiphone|6c:b2:ae:2d:40:ec|-48dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.0m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|WARD-N|6c:b2:ae:2d:40:ed|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHW|6c:b2:ae:2d:40:ee|-49dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.2m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iTaiwan|6c:b2:ae:2d:40:ef|-48dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~1.0m|179093519336|false|[ESS]
2022/09/04-20:24:47|Cjm|96:56:b3:30:fc:71|-85dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~174.0m|179093519336|false|[WPA2-PSK+SAE-CCMP][PMF-OPT][ESS]
