Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:13:09|NTUHM|00:be:75:d0:e2:eb|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321494977|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|wifiphone|00:be:75:d0:e2:ec|-84dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~66.8m|178321494970|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|WARD-N|00:be:75:d0:e2:ed|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321494963|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUHW|00:be:75:d0:e2:ee|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321494957|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|iTaiwan|00:be:75:d0:e2:ef|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321494949|false|[ESS]
2022/09/04-20:13:09|Meeting-Room2|00:be:75:d5:2c:24|-84dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~66.6m|178321495442|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|00:be:75:d5:2c:27|-84dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~66.6m|178321495434|false|[ESS]
2022/09/04-20:13:09|BP|00:be:75:d5:2c:28|-84dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~66.6m|178321495427|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|00:be:75:d5:2c:28|-81dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~108.7m|178415967776|false|[ESS]
2022/09/04-20:13:09|NTUH-APP|00:be:75:d5:2c:2a|-81dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~108.7m|178415967772|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|Meeting-Room2|00:be:75:d5:2c:2b|-81dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~108.7m|178415968038|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUH-APP|00:be:75:d8:7c:aa|-88dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~248.4m|178415967963|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|iTaiwan|00:be:75:dd:75:00|-56dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~6.1m|178415967990|false|[ESS]
2022/09/04-20:13:09|NTUHW|00:be:75:dd:75:01|-56dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~6.1m|178415967999|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|WARD-N|00:be:75:dd:75:02|-56dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~6.1m|178415968003|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|wifiphone|00:be:75:dd:75:03|-57dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~6.9m|178415967711|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
